titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
Alternance Data analyst IA F/H,Axa,Alternance,Fontenay-Sous-Bois,https://www.welcometothejungle.com/fr/companies/axa/jobs/alternance-data-analyst-ia-f-h_fontenay-sous-bois_AXA_8DYAAjQ,2026-03-23,WTTJ,data,
Data Scientist F/H - Stage,Allianz,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/allianz/jobs/data-scientist-f-h-stage_puteaux_AF_62DV37W,2026-03-23,WTTJ,data,
HAVAS MEDIA FRANCE - STAGE - DATA SCIENTIST IA & DÉVELOPPEMENT JUNIOR - F/H,Havas Sa,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-media-france-stage-data-scientist-ia-developpement-junior-f-h_puteaux,2026-03-23,WTTJ,data,
STAGE - Assistant Data Haute Joaillerie (H/F),Hermes,Stage,Pantin,https://www.welcometothejungle.com/fr/companies/hermes/jobs/stage-assistant-data-haute-joaillerie-h-f_pantin_HERMS_j2jpK36,2026-03-23,WTTJ,data,
STAGE - Assistant Data Manager (H/F),Hermes,Stage,Pantin,https://www.welcometothejungle.com/fr/companies/hermes/jobs/stage-assistant-data-manager-h-f_pantin_HERMS_7pkepZM,2026-03-23,WTTJ,data,
Alternance - Ingénieur Data F/H - Charenton le Pont,Groupe Bpce,Alternance,Charenton-Le-Pont,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/alternance-ingenieur-data-f-h-charenton-le-pont_charenton-le-pont,2026-03-23,WTTJ,data,
Data Engineer (F/H) - en alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-engineer-f-h-en-alternance_massy,2026-03-23,WTTJ,data,
Alternance - Développeur(se) Full Stack Software et Data Visualisation - Aéroline - Toulouse,Sopra Steria,Alternance,Toulouse,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/alternance-developpeur-se-full-stack-software-et-data-visualisation-aeroline-toulouse_toulouse_SS_L4xLL2Q,2026-03-23,WTTJ,data,
"Alternance – Ingénieur(e) Big Data, Python, SQL, AWS – Aéronautique - Toulouse",Sopra Steria,Alternance,Colomiers,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/alternance-ingenieur-big-data-python-sql-aws-aeronautique-toulouse_colomiers_SS_zJrQd83,2026-03-23,WTTJ,data,
Data Analyst risque de crédit (F/H) en alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-analyst-risque-de-credit-f-h-en-alternance_massy,2026-03-23,WTTJ,data,
